,Start frame,End frame,Duration (frames),Duration (sec)
206,6967.0,6990.0,24.0,0.8
207,6993.0,7016.0,24.0,0.8
208,7040.0,7064.0,25.0,0.8333333333333334
209,7072.0,7088.0,17.0,0.5666666666666667
210,7132.0,7142.0,11.0,0.36666666666666664
211,7150.0,7192.0,43.0,1.4333333333333333
212,7194.0,7194.0,1.0,0.03333333333333333
213,7197.0,7204.0,8.0,0.26666666666666666
214,7207.0,7216.0,10.0,0.3333333333333333
215,7223.0,7228.0,6.0,0.2
216,7311.0,7344.0,34.0,1.1333333333333333
217,7358.0,7380.0,23.0,0.7666666666666667
218,7385.0,7389.0,5.0,0.16666666666666666
219,7419.0,7451.0,33.0,1.1
220,7456.0,7474.0,19.0,0.6333333333333333
221,7501.0,7518.0,18.0,0.6
222,7567.0,7570.0,4.0,0.13333333333333333
223,7577.0,7581.0,5.0,0.16666666666666666
224,7588.0,7590.0,3.0,0.1
225,7607.0,7611.0,5.0,0.16666666666666666
226,7657.0,7685.0,29.0,0.9666666666666667
227,7688.0,7696.0,9.0,0.3
228,7707.0,7716.0,10.0,0.3333333333333333
229,7729.0,7740.0,12.0,0.4
230,7744.0,7754.0,11.0,0.36666666666666664
231,7787.0,7806.0,20.0,0.6666666666666666
232,7821.0,7831.0,11.0,0.36666666666666664
233,7834.0,7841.0,8.0,0.26666666666666666
234,7855.0,7860.0,6.0,0.2
235,7888.0,7889.0,2.0,0.06666666666666667
236,7898.0,7899.0,2.0,0.06666666666666667
237,7901.0,7907.0,7.0,0.23333333333333334
238,7911.0,7916.0,6.0,0.2
239,7934.0,7936.0,3.0,0.1
240,7943.0,7974.0,32.0,1.0666666666666667
241,7976.0,8039.0,64.0,2.1333333333333333
242,8042.0,8050.0,9.0,0.3
243,8056.0,8056.0,1.0,0.03333333333333333
244,8097.0,8097.0,1.0,0.03333333333333333
245,8106.0,8106.0,1.0,0.03333333333333333
246,8123.0,8127.0,5.0,0.16666666666666666
247,8135.0,8136.0,2.0,0.06666666666666667
248,8141.0,8147.0,7.0,0.23333333333333334
249,8149.0,8149.0,1.0,0.03333333333333333
250,8154.0,8156.0,3.0,0.1
251,8187.0,8190.0,4.0,0.13333333333333333
252,8203.0,8204.0,2.0,0.06666666666666667
253,8206.0,8208.0,3.0,0.1
254,8210.0,8210.0,1.0,0.03333333333333333
255,8217.0,8221.0,5.0,0.16666666666666666
256,8225.0,8225.0,1.0,0.03333333333333333
257,8228.0,8228.0,1.0,0.03333333333333333
258,8230.0,8230.0,1.0,0.03333333333333333
259,8232.0,8232.0,1.0,0.03333333333333333
260,8234.0,8234.0,1.0,0.03333333333333333
261,8237.0,8239.0,3.0,0.1
262,8246.0,8247.0,2.0,0.06666666666666667
263,8249.0,8249.0,1.0,0.03333333333333333
264,8251.0,8251.0,1.0,0.03333333333333333
265,8253.0,8255.0,3.0,0.1
266,8257.0,8260.0,4.0,0.13333333333333333
267,8262.0,8264.0,3.0,0.1
268,8281.0,8284.0,4.0,0.13333333333333333
269,8286.0,8292.0,7.0,0.23333333333333334
270,8361.0,8362.0,2.0,0.06666666666666667
271,8364.0,8374.0,11.0,0.36666666666666664
272,8380.0,8387.0,8.0,0.26666666666666666
273,8428.0,8441.0,14.0,0.4666666666666667
274,8448.0,8455.0,8.0,0.26666666666666666
275,8457.0,8468.0,12.0,0.4
276,8473.0,8473.0,1.0,0.03333333333333333
277,8475.0,8477.0,3.0,0.1
278,8483.0,8486.0,4.0,0.13333333333333333
279,8488.0,8494.0,7.0,0.23333333333333334
280,8501.0,8503.0,3.0,0.1
281,8505.0,8506.0,2.0,0.06666666666666667
282,8524.0,8525.0,2.0,0.06666666666666667
283,8527.0,8528.0,2.0,0.06666666666666667
284,8537.0,8537.0,1.0,0.03333333333333333
285,8541.0,8544.0,4.0,0.13333333333333333
286,8550.0,8550.0,1.0,0.03333333333333333
287,8552.0,8553.0,2.0,0.06666666666666667
288,8556.0,8556.0,1.0,0.03333333333333333
289,8560.0,8560.0,1.0,0.03333333333333333
290,8569.0,8573.0,5.0,0.16666666666666666
291,8577.0,8582.0,6.0,0.2
292,8641.0,8657.0,17.0,0.5666666666666667
293,8660.0,8664.0,5.0,0.16666666666666666
294,8711.0,8717.0,7.0,0.23333333333333334
295,8731.0,8733.0,3.0,0.1
296,8741.0,8779.0,39.0,1.3
297,8792.0,8822.0,31.0,1.0333333333333334
298,8853.0,8861.0,9.0,0.3
299,8888.0,8894.0,7.0,0.23333333333333334
300,8928.0,8945.0,18.0,0.6
301,8966.0,9016.0,51.0,1.7
302,9027.0,9027.0,1.0,0.03333333333333333
303,9060.0,9071.0,12.0,0.4
304,9103.0,9108.0,6.0,0.2
305,9131.0,9137.0,7.0,0.23333333333333334
306,9147.0,9193.0,47.0,1.5666666666666667
307,9195.0,9203.0,9.0,0.3
308,9214.0,9216.0,3.0,0.1
309,9279.0,9300.0,22.0,0.7333333333333333
310,9336.0,9338.0,3.0,0.1
311,9398.0,9403.0,6.0,0.2
312,9435.0,9437.0,3.0,0.1
313,9459.0,9466.0,8.0,0.26666666666666666
314,9473.0,9482.0,10.0,0.3333333333333333
315,9501.0,9502.0,2.0,0.06666666666666667
316,9506.0,9532.0,27.0,0.9
317,9555.0,9586.0,32.0,1.0666666666666667
318,9621.0,9643.0,23.0,0.7666666666666667
319,9661.0,9665.0,5.0,0.16666666666666666
320,9671.0,9727.0,57.0,1.9
321,9734.0,9761.0,28.0,0.9333333333333333
322,9779.0,9784.0,6.0,0.2
323,9792.0,9797.0,6.0,0.2
324,9814.0,9822.0,9.0,0.3
325,9830.0,9849.0,20.0,0.6666666666666666
326,9857.0,9889.0,33.0,1.1
327,9942.0,9956.0,15.0,0.5
328,10001.0,10002.0,2.0,0.06666666666666667
329,10030.0,10089.0,60.0,2.0
330,10105.0,10126.0,22.0,0.7333333333333333
331,10129.0,10129.0,1.0,0.03333333333333333
332,10132.0,10137.0,6.0,0.2
333,10145.0,10178.0,34.0,1.1333333333333333
334,10183.0,10202.0,20.0,0.6666666666666666
335,10205.0,10209.0,5.0,0.16666666666666666
336,10214.0,10233.0,20.0,0.6666666666666666
337,10265.0,10267.0,3.0,0.1
338,10274.0,10274.0,1.0,0.03333333333333333
339,10278.0,10280.0,3.0,0.1
340,10287.0,10294.0,8.0,0.26666666666666666
341,10305.0,10312.0,8.0,0.26666666666666666
342,10361.0,10362.0,2.0,0.06666666666666667
343,10392.0,10465.0,74.0,2.466666666666667
344,10470.0,10470.0,1.0,0.03333333333333333
345,10500.0,10516.0,17.0,0.5666666666666667
346,10531.0,10548.0,18.0,0.6
347,10554.0,10564.0,11.0,0.36666666666666664
348,10575.0,10584.0,10.0,0.3333333333333333
349,10595.0,10627.0,33.0,1.1
350,10632.0,10632.0,1.0,0.03333333333333333
351,10638.0,10680.0,43.0,1.4333333333333333
352,10682.0,10690.0,9.0,0.3
353,10698.0,10709.0,12.0,0.4
354,10727.0,10733.0,7.0,0.23333333333333334
355,10752.0,10787.0,36.0,1.2
356,10808.0,10820.0,13.0,0.43333333333333335
357,10876.0,10919.0,44.0,1.4666666666666666
358,10952.0,10972.0,21.0,0.7
